#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-6.0,50,1178.657619
-5.0,50,1180.534224
-5.0,50,1182.456776
-5.0,50,1184.533895
-6.0,50,1186.358751
-5.0,50,1188.223507
-5.0,50,1190.31299
-10.0,50,1192.338233
-5.0,50,1194.521683
-7.0,50,1196.414525
-5.0,50,1198.512614
-5.0,50,1200.515862
-5.0,50,1202.461007
-6.0,50,1204.365208
-6.0,50,1206.221825
-5.0,50,1208.170444
-5.0,50,1210.11899
-6.0,50,1212.10499
-5.0,50,1213.961862
-5.0,50,1216.090457
-5.0,50,1218.022289
-5.0,50,1219.931551
-5.0,50,1221.933
-5.0,50,1223.957816
-5.0,50,1225.977396
-5.0,50,1227.918792
-5.0,50,1229.953416
-5.0,50,1231.904384
-5.0,50,1234.038202
-6.0,50,1235.885542
-5.0,50,1237.944965
-7.0,50,1239.959793
-5.0,50,1241.800105
-5.0,50,1243.674909
-6.0,50,1245.65531
-6.0,50,1247.745757
-5.0,50,1249.848433
-5.0,50,1251.790591
-6.0,50,1253.800859
-5.0,50,1255.761006
-5.0,50,1257.820197
-7.0,50,1259.762099
-5.0,50,1261.757584
-6.0,50,1263.706807
-7.0,50,1265.635407
-8.0,50,1267.643744
-5.0,50,1269.751718
-5.0,50,1271.807614
-5.0,50,1273.865416
-5.0,50,1275.997759
-5.0,50,1277.966103
-6.0,50,1279.980599
-7.0,50,1282.030946
-5.0,50,1284.122432
-5.0,50,1285.920882
-6.0,50,1287.982188
-6.0,50,1290.093997
-7.0,50,1292.166055
-6.0,50,1294.198389
-6.0,50,1296.266015
-6.0,50,1298.31118
-7.0,50,1300.361085
-5.0,50,1302.477786
-5.0,50,1304.469551
-5.0,50,1306.580707
-7.0,50,1308.614356
-5.0,50,1310.518432
-5.0,50,1312.565135
-5.0,50,1314.668448
-6.0,50,1316.564915
-5.0,50,1318.505927
-5.0,50,1320.432717
-6.0,50,1322.419883
-6.0,50,1324.428448
-5.0,50,1326.309826
-7.0,50,1328.410621
-5.0,50,1330.482723
-7.0,50,1332.586329
-5.0,50,1334.514189
-6.0,50,1336.601403
-5.0,50,1338.582054
-6.0,50,1340.595198
-6.0,50,1342.710968
-6.0,50,1344.666285
-5.0,50,1346.674823
-9.0,50,1348.770112
-5.0,50,1350.682585
-5.0,50,1352.828541
-5.0,50,1354.967495
-7.0,50,1357.00317
-5.0,50,1359.022143
-6.0,50,1361.134271
-6.0,50,1363.233418
-7.0,50,1365.367855
-5.0,50,1367.441924
-8.0,50,1369.57053
-8.0,50,1371.531594
-6.0,50,1373.498578
-7.0,50,1375.585239
-6.0,50,1377.531112
-5.0,50,1379.587039
-6.0,50,1381.667724
-7.0,50,1383.590386
-7.0,50,1385.500513
-5.0,50,1387.380347
-5.0,50,1389.259564
-6.0,50,1391.404935
-7.0,50,1393.324934
-5.0,50,1395.275166
-7.0,50,1397.416097
-6.0,50,1399.452789
-6.0,50,1401.558877
-6.0,50,1403.392741
-5.0,50,1405.452173
-6.0,50,1407.515306
-6.0,50,1409.504254
-6.0,50,1411.435455
-5.0,50,1413.47457
-5.0,50,1415.386371
-6.0,50,1417.29339
-7.0,50,1419.329637
-7.0,50,1421.488346
-7.0,50,1423.543395
-5.0,50,1425.494144
-5.0,50,1427.475172
-5.0,50,1429.373965
-5.0,50,1431.480141
-5.0,50,1433.497844
-9.0,50,1435.702249
-7.0,50,1437.683448
-5.0,50,1439.775454
-6.0,50,1441.724781
-5.0,50,1443.692305
-5.0,50,1445.704268
-7.0,50,1447.794341
-5.0,50,1449.709263
-7.0,50,1451.746082
-6.0,50,1453.807174
-5.0,50,1455.874921
-7.0,50,1457.94463
-9.0,50,1459.998972
-7.0,50,1461.999489
-9.0,50,1463.910232
-6.0,50,1465.966262
-7.0,50,1467.986032
-6.0,50,1469.911046
-5.0,50,1471.826082
-6.0,50,1473.702242
-8.0,50,1475.782728
-5.0,50,1477.775853
-6.0,50,1479.775204
-6.0,50,1481.864884
-6.0,50,1483.952479
-6.0,50,1485.814908
-6.0,50,1487.751526
-7.0,50,1489.706018
-6.0,50,1491.778754
-6.0,50,1493.657961
-5.0,50,1495.585397
-7.0,50,1497.549265
-5.0,50,1499.70251
-5.0,50,1501.633234
-5.0,50,1503.633949
-5.0,50,1505.540611
-6.0,50,1507.486833
-5.0,50,1509.532988
-5.0,50,1511.57049
-7.0,50,1513.517581
-7.0,50,1515.495279
-5.0,50,1517.601589
-5.0,50,1519.581123
-6.0,50,1521.596136
-6.0,50,1523.552587
-5.0,50,1525.589518
-6.0,50,1527.709179
-5.0,50,1529.709971
-6.0,50,1531.644295
-7.0,50,1533.637858
-5.0,50,1535.559393
-7.0,50,1537.516501
-6.0,50,1539.419211
-5.0,50,1541.574002
-5.0,50,1543.498431
-7.0,50,1545.434912
-5.0,50,1547.541972
-7.0,50,1549.508861
-5.0,50,1551.551452
-6.0,50,1553.47342
-7.0,50,1555.630396
-5.0,50,1557.667193
-6.0,50,1559.597958
-5.0,50,1561.698487
-5.0,50,1563.738459
-12.0,50,1565.837097
-5.0,50,1567.983028
-6.0,50,1569.979222
-7.0,50,1572.087621
